,Open Price,High Price,Low Price,Last Price,Intra day range ,overnight,Volume,Volatility 30 Day,Price Change 1 Day Percent
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Intra day range ,overnight,PX_VOLUME,VOLATILITY_30D,CHG_PCT_1D
6/1/1928,20.07,20.07,20.07,20.07,0,0,#N/A N/A,15.43,-1.66
6/4/1928,19.8,19.8,19.8,19.8,0,0,#N/A N/A,15.88,1.28
6/5/1928,19.85,19.85,19.85,19.85,0,0,#N/A N/A,16.09,#N/A N/A
6/6/1928,19.66,19.66,19.66,19.66,0,0,#N/A N/A,15.55,0.91
6/7/1928,19.61,19.61,19.61,19.61,0,0,#N/A N/A,15.17,0.35
6/8/1928,19.37,19.37,19.37,19.37,0,0,#N/A N/A,15.81,-1.35
6/11/1928,18.68,18.68,18.68,18.68,0,0,#N/A N/A,15.78,0.25
6/12/1928,18.34,18.34,18.34,18.34,0,0,#N/A N/A,15.97,-0.96
6/13/1928,18.89,18.89,18.89,18.89,0,0,#N/A N/A,15.65,-0.25
6/14/1928,19.05,19.05,19.05,19.05,0,0,#N/A N/A,16.03,-1.22
6/15/1928,18.74,18.74,18.74,18.74,0,0,#N/A N/A,19.33,-3.56
6/18/1928,18.4,18.4,18.4,18.4,0,0,#N/A N/A,19.89,-1.82
6/19/1928,18.34,18.34,18.34,18.34,0,0,#N/A N/A,22.1,3
6/20/1928,18.57,18.57,18.57,18.57,0,0,#N/A N/A,21.67,0.85
6/21/1928,18.56,18.56,18.56,18.56,0,0,#N/A N/A,21.83,-1.63
6/22/1928,18.54,18.54,18.54,18.54,0,0,#N/A N/A,22.29,-1.81
6/25/1928,18.47,18.47,18.47,18.47,0,0,#N/A N/A,22.28,-0.33
6/26/1928,18.68,18.68,18.68,18.68,0,0,#N/A N/A,22.81,1.25
6/27/1928,18.86,18.86,18.86,18.86,0,0,#N/A N/A,22.58,-0.05
6/28/1928,19.07,19.07,19.07,19.07,0,0,#N/A N/A,22.48,-0.11
6/29/1928,19.14,19.14,19.14,19.14,0,0,#N/A N/A,22.48,-0.38
7/2/1928,18.98,18.98,18.98,18.98,0,0,#N/A N/A,22.51,1.14
7/3/1928,19.29,19.29,19.29,19.29,0,0,#N/A N/A,22.75,0.96
7/5/1928,19.48,19.48,19.48,19.48,0,0,#N/A N/A,22.96,1.11
7/6/1928,19.39,19.39,19.39,19.39,0,0,#N/A N/A,22.63,0.37
7/9/1928,19.46,19.46,19.46,19.46,0,0,#N/A N/A,22.39,-0.84
7/10/1928,19.43,19.43,19.43,19.43,0,0,#N/A N/A,22.09,1.63
7/11/1928,18.95,18.95,18.95,18.95,0,0,#N/A N/A,22.4,#N/A N/A
7/12/1928,18.81,18.81,18.81,18.81,0,0,#N/A N/A,22.64,0.98
7/13/1928,18.96,18.96,18.96,18.96,0,0,#N/A N/A,22.1,-0.46
7/16/1928,18.7,18.7,18.7,18.7,0,0,#N/A N/A,21.74,0.36
7/17/1928,18.8,18.8,18.8,18.8,0,0,#N/A N/A,21.51,-0.15
7/18/1928,19.03,19.03,19.03,19.03,0,0,#N/A N/A,22.33,-2.47
7/19/1928,18.99,18.99,18.99,18.99,0,0,#N/A N/A,22.33,-0.74
7/20/1928,19.03,19.03,19.03,19.03,0,0,#N/A N/A,22.25,0.8
7/23/1928,19.12,19.12,19.12,19.12,0,0,#N/A N/A,22.51,-1.37
7/24/1928,19.09,19.09,19.09,19.09,0,0,#N/A N/A,22.49,0.53
7/25/1928,19.2,19.2,19.2,19.2,0,0,#N/A N/A,22.88,1.22
7/26/1928,19.24,19.24,19.24,19.24,0,0,#N/A N/A,22.6,-0.21
7/27/1928,19.42,19.42,19.42,19.42,0,0,#N/A N/A,19.62,0.21
7/30/1928,19.47,19.47,19.47,19.47,0,0,#N/A N/A,18.7,0.47
7/31/1928,19.43,19.43,19.43,19.43,0,0,#N/A N/A,16.48,-0.16
8/1/1928,19.42,19.42,19.42,19.42,0,0,#N/A N/A,16.37,0.58
8/2/1928,19.33,19.33,19.33,19.33,0,0,#N/A N/A,15.5,0.21
8/3/1928,19.36,19.36,19.36,19.36,0,0,#N/A N/A,14.45,0.94
8/6/1928,19.58,19.58,19.58,19.58,0,0,#N/A N/A,14.36,0.26
8/7/1928,19.49,19.49,19.49,19.49,0,0,#N/A N/A,14.03,-0.21
8/8/1928,19.25,19.25,19.25,19.25,0,0,#N/A N/A,14.03,-0.05
8/9/1928,19.3,19.3,19.3,19.3,0,0,#N/A N/A,14.14,-0.46
8/10/1928,19.25,19.25,19.25,19.25,0,0,#N/A N/A,14.04,0.16
8/13/1928,19.29,19.29,19.29,19.29,0,0,#N/A N/A,14.04,1.14
8/14/1928,19.13,19.13,19.13,19.13,0,0,#N/A N/A,13.93,-0.46
8/15/1928,19.47,19.47,19.47,19.47,0,0,#N/A N/A,14.16,-1.23
8/16/1928,19.61,19.61,19.61,19.61,0,0,#N/A N/A,14.14,0.26
8/17/1928,19.64,19.64,19.64,19.64,0,0,#N/A N/A,13.9,-0.26
8/20/1928,19.77,19.77,19.77,19.77,0,0,#N/A N/A,13.01,0.21
8/21/1928,20.02,20.02,20.02,20.02,0,0,#N/A N/A,12.86,-0.83
8/22/1928,20,20,20,20,0,0,#N/A N/A,13.76,1.78
8/23/1928,20.02,20.02,20.02,20.02,0,0,#N/A N/A,13.85,0.72
8/24/1928,20.34,20.34,20.34,20.34,0,0,#N/A N/A,13.82,0.15
8/27/1928,20.38,20.38,20.38,20.38,0,0,#N/A N/A,13.93,0.66
8/28/1928,20.54,20.54,20.54,20.54,0,0,#N/A N/A,11.91,1.26
8/29/1928,20.58,20.58,20.58,20.58,0,0,#N/A N/A,11.6,-0.1
8/30/1928,20.61,20.61,20.61,20.61,0,0,#N/A N/A,11.46,0.1
8/31/1928,20.87,20.87,20.87,20.87,0,0,#N/A N/A,11.13,1.6
9/4/1928,20.97,20.97,20.97,20.97,0,0,#N/A N/A,11.11,0.2
9/5/1928,21.07,21.07,21.07,21.07,0,0,#N/A N/A,10.84,0.79
9/6/1928,20.94,20.94,20.94,20.94,0,0,#N/A N/A,10.74,0.19
9/7/1928,21.09,21.09,21.09,21.09,0,0,#N/A N/A,10.75,0.15
9/10/1928,20.92,20.92,20.92,20.92,0,0,#N/A N/A,11.13,1.26
9/11/1928,21.08,21.08,21.08,21.08,0,0,#N/A N/A,11.24,#N/A N/A
9/12/1928,21.16,21.16,21.16,21.16,0,0,#N/A N/A,11.22,0.48
